data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 16:43:27,2396.0,50.7,6.82,87.0,63732,158594,137089249280,53.7
05/06/2025 16:43:32,2396.0,68.0,6.9,88.1,63750,158622,137089642496,53.7
05/06/2025 16:43:36,2396.0,28.5,6.9,88.1,63778,158655,137089646592,53.7
05/06/2025 16:43:39,1497.0,31.0,6.88,87.8,63779,158655,137089646592,53.7
05/06/2025 16:43:43,1497.0,52.3,6.86,87.5,63779,158655,137089581056,53.7
05/06/2025 16:43:47,1497.0,61.6,6.85,87.4,63784,158660,137089581056,53.7
05/06/2025 16:43:50,1497.0,45.6,6.85,87.4,63821,158703,137089597440,53.7
05/06/2025 16:43:54,1497.0,45.5,6.86,87.5,63855,158745,137089597440,53.7
05/06/2025 16:43:58,1497.0,50.4,6.86,87.5,63859,158753,137089531904,53.7
05/06/2025 16:44:02,1497.0,48.3,6.86,87.6,63876,158772,137089597440,53.7
05/06/2025 16:44:06,2396.0,47.0,6.86,87.5,63880,158776,137089597440,53.7
05/06/2025 16:44:10,2396.0,46.8,6.87,87.7,63880,158776,137089601536,53.7
05/06/2025 16:44:14,2396.0,60.1,6.84,87.2,63882,158777,137089536000,53.7
05/06/2025 16:44:18,2396.0,63.6,6.95,88.7,63993,158908,137089536000,53.7
05/06/2025 16:44:22,1497.0,52.4,6.93,88.5,64018,158930,137090195456,53.7
05/06/2025 16:44:27,1497.0,61.0,6.94,88.5,64029,158939,137090367488,53.7
05/06/2025 16:44:31,1497.0,71.2,7.04,89.8,64392,159324,137090306048,53.7
05/06/2025 16:44:35,2396.0,70.9,7.04,89.9,64460,159416,137090371584,53.7
05/06/2025 16:44:39,1497.0,59.1,7.05,89.9,64487,159455,137090895872,53.7
05/06/2025 16:44:43,1497.0,69.1,7.04,89.9,64562,159542,137090895872,53.7
05/06/2025 16:44:47,1497.0,55.0,7.04,89.8,64637,159657,137090895872,53.7
05/06/2025 16:44:50,1497.0,51.3,6.98,89.1,64645,159671,137090899968,53.7
05/06/2025 16:44:54,1497.0,48.9,6.99,89.1,64672,159705,137090899968,53.7
05/06/2025 16:44:58,2396.0,45.9,6.99,89.1,64684,159725,137090899968,53.7
05/06/2025 16:45:03,1497.0,46.8,6.98,89.1,64698,159742,137091751936,53.7
05/06/2025 16:45:07,2396.0,72.7,6.99,89.1,64701,159746,137091489792,53.7
05/06/2025 16:45:11,2396.0,75.6,6.98,89.1,64704,159750,137091293184,53.7
05/06/2025 16:45:14,1497.0,47.8,6.98,89.1,64704,159751,137091293184,53.7
05/06/2025 16:45:18,1497.0,49.6,6.99,89.1,64705,159756,137091293184,53.7
05/06/2025 16:45:22,1497.0,64.9,6.97,88.9,64707,159758,137091293184,53.7
05/06/2025 16:45:26,1497.0,43.6,6.86,87.5,64710,159763,137091358720,53.7
05/06/2025 16:45:30,1497.0,62.5,6.85,87.4,64766,159832,137091706880,53.7
05/06/2025 16:45:34,1497.0,48.5,6.85,87.4,64788,159849,137091706880,53.7
05/06/2025 16:45:38,1497.0,53.6,6.85,87.4,64793,159855,137091706880,53.7
05/06/2025 16:45:43,1497.0,39.9,6.84,87.3,64809,159874,137091706880,53.7
05/06/2025 16:45:46,1497.0,55.5,6.9,88.0,64938,160025,137091706880,53.7
05/06/2025 16:45:50,2396.0,42.9,6.87,87.7,64971,160064,137091706880,53.7
05/06/2025 16:45:56,2396.0,60.3,6.87,87.6,64977,160072,137091784704,53.7
05/06/2025 16:46:00,1497.0,95.7,7.06,90.1,65110,160273,137091923968,53.7
05/06/2025 16:46:07,1497.0,81.7,7.09,90.5,65355,160714,137092546560,53.7
05/06/2025 16:46:14,1497.0,87.2,7.15,91.2,65560,161053,137094189056,53.7
05/06/2025 16:46:20,1497.0,47.9,7.1,90.5,65779,161360,137094123520,53.7
05/06/2025 16:46:25,1497.0,61.7,7.12,90.9,65843,161473,137093947392,53.7
05/06/2025 16:46:31,1497.0,66.8,7.09,90.5,65919,161614,137093947392,53.7
05/06/2025 16:46:36,1497.0,63.0,7.1,90.5,65986,161714,137094402048,53.7
05/06/2025 16:46:41,1497.0,58.7,7.08,90.3,66029,161778,137094475776,53.7
05/06/2025 16:46:46,2396.0,80.0,7.05,89.9,66069,161822,137095815168,53.7
05/06/2025 16:46:49,1497.0,60.4,7.06,90.1,66075,161827,137095815168,53.7
05/06/2025 16:46:55,1497.0,56.8,7.05,90.0,66116,161885,137095815168,53.7
05/06/2025 16:46:59,1497.0,61.9,7.06,90.1,66142,161943,137095823360,53.7
05/06/2025 16:47:03,1497.0,55.5,7.06,90.0,66187,162004,137095831552,53.7
05/06/2025 16:47:07,1497.0,54.6,7.05,90.0,66193,162009,137095835648,53.7
05/06/2025 16:47:11,1497.0,62.6,7.05,90.0,66223,162045,137096216576,53.7
05/06/2025 16:47:15,1497.0,79.3,7.11,90.7,66255,162082,137096220672,53.7
05/06/2025 16:47:20,1497.0,56.2,7.07,90.2,66296,162133,137096224768,53.7
05/06/2025 16:47:26,1497.0,80.7,7.05,89.9,66322,162157,137096171520,53.7
05/06/2025 16:47:31,1497.0,70.7,7.08,90.3,66348,162185,137100623872,53.7
05/06/2025 16:47:36,1497.0,53.6,7.06,90.0,66370,162203,137100558336,53.7
05/06/2025 16:47:40,1497.0,53.4,7.04,89.9,66379,162210,137100615680,53.7
05/06/2025 16:47:45,1497.0,45.9,7.02,89.6,66385,162214,137100746752,53.7
05/06/2025 16:47:49,1497.0,66.9,7.12,90.8,66419,162251,137100812288,53.7
05/06/2025 16:47:54,2396.0,90.4,7.14,91.1,66501,162359,137101008896,53.7
05/06/2025 16:48:00,1497.0,60.8,7.1,90.6,66550,162412,137114181632,53.7
05/06/2025 16:48:06,1497.0,54.1,7.08,90.4,66587,162454,137114185728,53.7
05/06/2025 16:48:11,1497.0,74.2,7.05,90.0,66602,162470,137114185728,53.7
05/06/2025 16:48:14,1497.0,56.6,7.06,90.0,66614,162487,137114185728,53.7
05/06/2025 16:48:18,1497.0,52.6,7.06,90.1,66617,162491,137114185728,53.7
05/06/2025 16:48:24,2396.0,68.0,7.04,89.8,66638,162508,137114185728,53.7
05/06/2025 16:48:28,2396.0,73.7,7.04,89.7,66665,162538,137114185728,53.7
05/06/2025 16:48:32,2396.0,71.8,7.02,89.5,66681,162556,137114251264,53.7
05/06/2025 16:48:35,1497.0,75.1,7.02,89.5,66683,162558,137114251264,53.7
05/06/2025 16:48:39,1497.0,72.8,7.02,89.5,66686,162559,137114185728,53.7
05/06/2025 16:48:43,1497.0,74.9,7.04,89.8,66710,162585,137114251264,53.7
05/06/2025 16:48:46,1497.0,56.7,7.03,89.7,66717,162595,137114255360,53.7
05/06/2025 16:48:50,1497.0,51.8,7.05,89.9,66722,162603,137114255360,53.7
05/06/2025 16:48:54,1497.0,51.7,7.05,89.9,66723,162606,137114255360,53.7
05/06/2025 16:48:58,1497.0,49.2,7.04,89.8,66738,162623,137114255360,53.7
05/06/2025 16:49:02,1497.0,56.6,7.04,89.8,66741,162627,137114255360,53.7
05/06/2025 16:49:06,1497.0,45.6,7.03,89.7,66747,162633,137114464256,53.7
05/06/2025 16:49:10,1497.0,55.1,7.02,89.5,66751,162638,137114398720,53.7
05/06/2025 16:49:14,2396.0,44.0,7.02,89.5,66752,162639,137114464256,53.7
05/06/2025 16:49:18,1497.0,46.7,6.98,89.1,66760,162642,137114464256,53.7
05/06/2025 16:49:22,1497.0,51.7,6.98,89.1,66762,162643,137114464256,53.7
05/06/2025 16:49:26,1497.0,47.8,6.98,89.1,66768,162647,137114464256,53.7
05/06/2025 16:49:30,1497.0,47.4,6.98,89.1,66780,162660,137114472448,53.7
05/06/2025 16:49:34,2396.0,51.1,7.01,89.5,66783,162663,137114492928,53.7
05/06/2025 16:49:38,1497.0,51.5,7.01,89.4,66783,162663,137114492928,53.7
05/06/2025 16:49:42,1497.0,68.3,6.99,89.2,66784,162663,137114492928,53.7
05/06/2025 16:49:46,1497.0,50.9,7.0,89.3,66807,162718,137106096128,53.7
05/06/2025 16:49:50,1497.0,41.1,6.99,89.1,66809,162720,137107406848,53.7
05/06/2025 16:49:54,2396.0,46.8,6.99,89.2,66814,162725,137107406848,53.7
05/06/2025 16:49:58,1497.0,49.8,6.99,89.1,66814,162725,137107406848,53.7
05/06/2025 16:50:02,1497.0,46.8,6.94,88.6,66817,162728,137107447808,53.7
05/06/2025 16:50:06,1497.0,43.8,6.96,88.8,66826,162734,137107447808,53.7
05/06/2025 16:50:10,1497.0,52.4,6.95,88.7,66842,162750,137107451904,53.7
05/06/2025 16:50:14,1497.0,50.8,6.95,88.7,66846,162755,137107451904,53.7
05/06/2025 16:50:18,1497.0,44.4,7.0,89.3,66879,162795,137107451904,53.7
05/06/2025 16:50:22,1497.0,54.2,7.0,89.3,66954,162870,137107451904,53.7
05/06/2025 16:50:26,1497.0,47.3,6.78,86.5,66959,162876,137107410944,53.7
05/06/2025 16:50:30,1497.0,59.2,6.76,86.3,66965,162881,137107410944,53.7
