data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 01:57:26,2100.0,1.2,11.99,78.7,166376,668564,91368542208,36.1
05/06/2025 01:57:31,1400.0,1.7,12.02,79.0,166378,668572,91368546304,36.1
05/06/2025 01:57:36,1400.0,3.1,12.0,78.8,166403,668600,91368632320,36.1
05/06/2025 01:57:40,2100.0,2.9,11.98,78.7,166426,668623,91368632320,36.1
05/06/2025 01:57:45,2100.0,1.6,11.99,78.7,166433,668662,91368734720,36.1
05/06/2025 01:57:50,2100.0,2.2,12.08,79.3,166445,668678,91369136128,36.1
05/06/2025 01:57:54,2100.0,13.0,12.1,79.5,166516,668712,91369283584,36.1
05/06/2025 01:57:59,2100.0,2.8,12.04,79.1,166845,670050,91369299968,36.1
05/06/2025 01:58:05,1400.0,2.4,12.03,79.0,166942,670511,91369410560,36.1
05/06/2025 01:58:09,1400.0,2.3,12.11,79.5,167064,671116,91369480192,36.1
05/06/2025 01:58:13,1400.0,3.0,12.09,79.4,167194,671926,91369484288,36.1
05/06/2025 01:58:18,1400.0,4.6,12.06,79.2,167363,672881,91369488384,36.1
05/06/2025 01:58:23,2100.0,3.0,12.07,79.3,167387,672910,91369459712,36.1
05/06/2025 01:58:27,2100.0,5.0,12.07,79.3,167723,675133,91368726528,36.1
05/06/2025 01:58:31,1400.0,2.3,12.09,79.4,167922,676060,91368779776,36.1
05/06/2025 01:58:36,2100.0,2.8,12.08,79.4,168061,676883,91368800256,36.1
05/06/2025 01:58:40,2100.0,13.8,12.07,79.3,168072,676903,91368804352,36.1
05/06/2025 01:58:45,2100.0,27.0,12.1,79.5,168216,677818,91368804352,36.1
05/06/2025 01:58:50,2100.0,2.1,12.13,79.6,168219,677825,91369066496,36.1
05/06/2025 01:58:54,1400.0,2.1,12.16,79.9,168411,678590,91369066496,36.1
05/06/2025 01:58:58,1400.0,4.4,12.1,79.5,168610,679597,91368263680,36.1
05/06/2025 01:59:03,2100.0,2.0,12.09,79.4,168773,680660,91368267776,36.1
05/06/2025 01:59:08,2100.0,1.2,12.09,79.4,168943,681688,91368292352,36.1
05/06/2025 01:59:13,1400.0,2.9,12.1,79.5,169176,682867,91368357888,36.1
05/06/2025 01:59:17,2100.0,1.0,12.1,79.4,169196,682889,91368361984,36.1
05/06/2025 01:59:22,2100.0,5.4,12.09,79.4,169340,683882,91368296448,36.1
05/06/2025 01:59:26,2100.0,10.6,12.1,79.5,169518,685012,91368341504,36.1
05/06/2025 01:59:30,1400.0,4.0,12.06,79.2,169628,685689,91368407040,36.1
05/06/2025 01:59:35,2100.0,2.2,12.07,79.2,169633,685700,91368341504,36.1
05/06/2025 01:59:40,1400.0,2.1,12.07,79.2,169703,686066,91368423424,36.1
05/06/2025 01:59:44,1400.0,4.9,12.08,79.3,169723,686085,91368431616,36.1
05/06/2025 01:59:49,1400.0,3.4,12.07,79.3,169831,686705,91368443904,36.1
05/06/2025 01:59:54,2100.0,2.3,12.09,79.4,169927,686993,91368869888,36.1
05/06/2025 01:59:59,1400.0,5.6,12.1,79.5,169957,687093,91368902656,36.1
05/06/2025 02:00:04,1400.0,1.8,12.09,79.4,169963,687107,91368906752,36.1
05/06/2025 02:00:08,1400.0,7.5,12.21,80.2,169980,687130,91369172992,36.1
05/06/2025 02:00:12,2100.0,10.3,12.18,80.0,169988,687144,91369172992,36.1
05/06/2025 02:00:17,1400.0,3.2,12.18,80.0,169997,687163,91369172992,36.1
05/06/2025 02:00:22,2100.0,2.5,12.18,80.0,169999,687171,91369172992,36.1
05/06/2025 02:00:26,2100.0,9.5,12.18,80.0,170007,687190,91369172992,36.1
05/06/2025 02:00:31,1400.0,2.1,12.18,80.0,170059,687203,91369172992,36.1
05/06/2025 02:00:36,1400.0,2.3,12.16,79.9,170064,687230,91369193472,36.1
05/06/2025 02:00:40,1400.0,10.5,12.17,79.9,170071,687253,91369414656,36.1
05/06/2025 02:00:45,2100.0,3.1,12.18,80.0,170092,687300,91369418752,36.1
05/06/2025 02:00:49,2100.0,2.2,12.19,80.0,170100,687313,91369418752,36.1
05/06/2025 02:00:54,2100.0,4.1,12.18,80.0,170104,687322,91369484288,36.1
05/06/2025 02:00:58,2100.0,2.3,12.18,80.0,170109,687332,91369496576,36.1
05/06/2025 02:01:02,1400.0,8.5,12.18,80.0,170110,687337,91369496576,36.1
05/06/2025 02:01:06,2100.0,6.8,12.17,80.0,170134,687367,91369496576,36.1
05/06/2025 02:01:11,2100.0,10.6,12.18,80.0,170194,687388,91369385984,36.1
05/06/2025 02:01:15,2100.0,2.2,12.1,79.5,170231,687457,91369320448,36.1
05/06/2025 02:01:20,2100.0,1.8,12.1,79.5,170237,687468,91369385984,36.1
05/06/2025 02:01:24,1400.0,4.1,12.08,79.3,170261,687498,91369390080,36.1
05/06/2025 02:01:28,1400.0,5.0,12.08,79.3,170268,687513,91369390080,36.1
05/06/2025 02:01:33,2100.0,2.0,12.09,79.4,170270,687521,91369394176,36.1
05/06/2025 02:01:38,1400.0,2.4,12.09,79.4,170278,687534,91369402368,36.1
05/06/2025 02:01:42,2100.0,11.5,12.18,80.0,170285,687545,91369418752,36.1
05/06/2025 02:01:46,2100.0,2.1,12.19,80.1,170298,687589,91369676800,36.1
05/06/2025 02:01:50,2100.0,2.3,12.23,80.3,170394,687653,91369938944,36.1
05/06/2025 02:01:54,2100.0,1.8,12.13,79.6,170399,687662,91369947136,36.1
05/06/2025 02:01:59,1400.0,4.5,12.13,79.6,170430,687693,91370000384,36.1
05/06/2025 02:02:04,1400.0,5.2,12.13,79.6,170832,689737,91370000384,36.1
05/06/2025 02:02:08,1400.0,2.0,12.13,79.7,170856,689766,91370070016,36.1
05/06/2025 02:02:12,2100.0,3.8,12.1,79.5,170986,689921,91370139648,36.1
05/06/2025 02:02:16,2100.0,3.5,12.11,79.5,171137,690895,91370151936,36.1
05/06/2025 02:02:21,1400.0,3.5,12.08,79.4,171241,691520,91370156032,36.1
05/06/2025 02:02:25,1400.0,4.9,12.09,79.4,171437,692645,91370160128,36.1
05/06/2025 02:02:30,2100.0,2.7,12.07,79.3,171490,692660,91370160128,36.1
05/06/2025 02:02:34,2100.0,2.1,12.04,79.1,171757,694425,91370160128,36.1
05/06/2025 02:02:39,2100.0,4.0,12.04,79.1,171901,695408,91370250240,36.1
05/06/2025 02:02:43,1400.0,5.2,12.05,79.1,172066,696512,91370250240,36.1
05/06/2025 02:02:47,2100.0,8.5,12.14,79.7,172253,697438,91370983424,36.1
05/06/2025 02:02:51,1400.0,3.9,12.17,80.0,172523,698807,91370643456,36.1
05/06/2025 02:02:55,2100.0,7.3,12.16,79.9,172666,699622,91371188224,36.1
05/06/2025 02:03:00,2100.0,5.2,12.17,79.9,172871,700697,91370942464,36.1
05/06/2025 02:03:04,1400.0,4.3,12.32,80.9,173076,702039,91371204608,36.1
05/06/2025 02:03:09,1400.0,2.1,12.26,80.5,173095,702058,91371143168,36.1
05/06/2025 02:03:13,1400.0,3.9,12.27,80.6,173347,703208,91371196416,36.1
05/06/2025 02:03:18,2100.0,2.1,12.29,80.7,173490,704058,91371397120,36.1
05/06/2025 02:03:23,1400.0,4.6,12.3,80.8,173697,705276,91371397120,36.1
05/06/2025 02:03:27,1400.0,2.8,12.25,80.4,173766,705702,91370582016,36.1
05/06/2025 02:03:32,2100.0,13.8,12.23,80.3,173896,706489,91370582016,36.1
05/06/2025 02:03:36,2100.0,1.7,12.23,80.3,173897,706499,91370606592,36.1
05/06/2025 02:03:40,1400.0,3.6,12.26,80.5,174131,708081,91370631168,36.1
05/06/2025 02:03:45,1400.0,2.2,12.28,80.6,174331,709312,91370569728,36.1
05/06/2025 02:03:50,1400.0,3.1,12.26,80.5,174554,710524,91370573824,36.1
05/06/2025 02:03:54,1400.0,3.0,12.26,80.5,174588,710536,91370573824,36.1
05/06/2025 02:03:59,2100.0,5.9,12.26,80.5,174755,711457,91383590912,36.1
05/06/2025 02:04:03,1400.0,2.6,12.26,80.5,174802,711541,91383635968,36.1
05/06/2025 02:04:08,1400.0,3.8,12.27,80.6,174853,711679,91374182400,36.1
05/06/2025 02:04:13,2100.0,3.9,12.27,80.6,174873,711701,91374219264,36.1
05/06/2025 02:04:17,2100.0,6.2,12.25,80.5,174892,711723,91374231552,36.1
05/06/2025 02:04:22,1400.0,1.8,12.24,80.4,174895,711731,91374231552,36.1
05/06/2025 02:04:26,2100.0,8.3,12.2,80.1,174903,711747,91374231552,36.1
05/06/2025 02:04:30,1400.0,6.2,12.21,80.2,174950,711759,91374235648,36.1
05/06/2025 02:04:35,1400.0,2.0,12.2,80.1,174955,711766,91374235648,36.1
05/06/2025 02:04:40,1400.0,3.5,12.22,80.3,174973,711787,91374256128,36.1
05/06/2025 02:04:44,1400.0,9.3,12.23,80.3,174978,711800,91374256128,36.1
05/06/2025 02:04:48,2100.0,2.5,12.22,80.3,174982,711808,91374260224,36.1
05/06/2025 02:04:53,2100.0,1.4,12.22,80.3,174996,711827,91374260224,36.1
