data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 00:50:42,2100.0,7.4,11.66,76.6,92959,302494,88873091072,35.1
05/06/2025 00:50:48,1400.0,3.6,11.65,76.5,92987,302609,88873099264,35.1
05/06/2025 00:50:53,2100.0,1.8,11.66,76.6,93073,302659,88873033728,35.1
05/06/2025 00:50:57,1400.0,3.4,11.66,76.6,93091,302689,88873115648,35.1
05/06/2025 00:51:01,1400.0,5.9,11.7,76.8,93120,302744,88873390080,35.1
05/06/2025 00:51:06,2100.0,11.7,11.73,77.1,93124,302771,88873422848,35.1
05/06/2025 00:51:10,1400.0,3.5,11.69,76.8,93169,302839,88873357312,35.1
05/06/2025 00:51:14,2100.0,5.1,11.7,76.8,93171,302851,88873426944,35.1
05/06/2025 00:51:19,2100.0,2.3,11.69,76.8,93200,302898,88873426944,35.1
05/06/2025 00:51:24,2100.0,2.6,11.69,76.8,93214,302926,88873361408,35.1
05/06/2025 00:51:28,1400.0,3.3,11.69,76.8,93263,302939,88873361408,35.1
05/06/2025 00:51:33,2100.0,3.1,11.71,76.9,93290,302989,88873365504,35.1
05/06/2025 00:51:37,2100.0,9.5,11.93,78.3,93319,303048,88873385984,35.1
05/06/2025 00:51:41,2100.0,10.0,12.03,79.0,93352,303098,88873385984,35.1
05/06/2025 00:51:45,2100.0,7.2,12.03,79.0,93377,303131,88873385984,35.1
05/06/2025 00:51:49,2100.0,11.9,12.03,79.0,93399,303164,88874041344,35.2
05/06/2025 00:51:53,1400.0,3.7,12.04,79.0,93415,303197,88874565632,35.2
05/06/2025 00:51:57,1400.0,2.6,12.04,79.0,93420,303212,88874586112,35.2
05/06/2025 00:52:02,1400.0,2.1,11.76,77.2,93435,303241,88874586112,35.2
05/06/2025 00:52:06,2100.0,5.5,11.76,77.3,93437,303261,88874586112,35.2
05/06/2025 00:52:10,1400.0,4.1,11.73,77.0,93491,303284,88874586112,35.2
05/06/2025 00:52:16,2100.0,27.4,11.74,77.1,93552,303361,88874688512,35.2
