data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 01:32:10,1400.0,3.9,11.8,77.5,137112,520267,91606675456,36.2
05/06/2025 01:32:16,1400.0,3.3,11.78,77.4,137324,521152,91606478848,36.2
05/06/2025 01:32:21,1400.0,0.8,11.79,77.4,137490,522030,91606544384,36.2
05/06/2025 01:32:25,1400.0,2.8,11.79,77.4,137508,522054,91607592960,36.2
05/06/2025 01:32:31,2100.0,0.9,11.79,77.4,137628,522791,91607789568,36.2
05/06/2025 01:32:36,2100.0,0.6,11.79,77.4,137755,523466,91607810048,36.2
05/06/2025 01:32:40,2100.0,4.0,11.69,76.8,137859,524103,91607810048,36.2
05/06/2025 01:32:44,2100.0,2.1,11.52,75.6,138024,525276,91608330240,36.2
05/06/2025 01:32:49,1400.0,3.8,11.73,77.0,138170,525905,91608158208,36.2
05/06/2025 01:32:54,1400.0,0.5,11.74,77.1,138327,526616,91608166400,36.2
05/06/2025 01:32:59,1400.0,3.4,11.72,77.0,138527,527847,91608129536,36.2
05/06/2025 01:33:03,1400.0,2.1,11.71,76.9,138695,528875,91608129536,36.2
05/06/2025 01:33:08,1400.0,1.2,11.69,76.8,138846,529816,91608133632,36.2
05/06/2025 01:33:12,2100.0,2.6,11.68,76.7,139036,531041,91608199168,36.2
05/06/2025 01:33:17,2100.0,19.1,11.7,76.8,139040,531048,91608199168,36.2
05/06/2025 01:33:21,1400.0,20.9,11.71,76.9,139248,532329,91608199168,36.2
05/06/2025 01:33:25,2100.0,27.0,11.61,76.2,139456,533628,91608199168,36.2
05/06/2025 01:33:31,2100.0,7.7,11.57,76.0,139460,533637,91608199168,36.2
05/06/2025 01:33:35,2100.0,38.1,11.59,76.1,139557,534076,91608199168,36.2
05/06/2025 01:33:39,1400.0,3.5,11.58,76.0,139559,534082,91608154112,36.2
05/06/2025 01:33:44,2100.0,27.9,11.57,76.0,139571,534102,91608281088,36.2
05/06/2025 01:33:49,2100.0,29.4,11.56,75.9,139582,534135,91608276992,36.2
05/06/2025 01:33:53,1400.0,9.2,11.86,77.9,139670,534338,91622567936,36.2
05/06/2025 01:33:58,2100.0,2.5,11.76,77.2,139698,534374,91613229056,36.2
05/06/2025 01:34:02,2100.0,6.4,11.81,77.6,139767,534477,91613229056,36.2
05/06/2025 01:34:07,1400.0,2.2,11.75,77.2,139795,534558,91613097984,36.2
05/06/2025 01:34:11,1400.0,3.1,11.75,77.2,139855,534584,91613184000,36.2
05/06/2025 01:34:16,1400.0,4.9,11.78,77.3,139870,534615,91613224960,36.2
05/06/2025 01:34:20,2100.0,2.1,11.77,77.3,139877,534641,91613093888,36.2
05/06/2025 01:34:24,2100.0,2.8,11.76,77.2,139882,534653,91613155328,36.2
05/06/2025 01:34:29,2100.0,2.6,11.76,77.3,139910,534688,91613241344,36.2
05/06/2025 01:34:33,2100.0,4.8,11.76,77.2,139930,534719,91613577216,36.2
05/06/2025 01:34:37,2100.0,2.4,11.75,77.2,139949,534736,91613601792,36.2
05/06/2025 01:34:42,2100.0,2.0,11.74,77.1,139966,534752,91613601792,36.2
05/06/2025 01:34:46,1400.0,13.6,11.75,77.2,139978,534779,91613757440,36.2
05/06/2025 01:34:51,2100.0,2.0,11.79,77.5,140047,534883,91613757440,36.2
05/06/2025 01:34:55,1400.0,0.9,11.78,77.4,140101,534905,91613773824,36.2
05/06/2025 01:35:00,2100.0,5.3,11.81,77.5,140120,534932,91592200192,36.2
05/06/2025 01:35:04,2100.0,2.4,11.9,78.1,140126,534943,91592327168,36.2
05/06/2025 01:35:08,2100.0,1.3,11.91,78.2,140175,535016,91592331264,36.2
05/06/2025 01:35:13,2100.0,1.6,11.83,77.7,140215,535064,91592265728,36.2
05/06/2025 01:35:17,2100.0,19.5,11.84,77.7,140237,535107,91592212480,36.2
05/06/2025 01:35:22,1400.0,6.1,11.83,77.7,140582,536282,91591151616,36.2
05/06/2025 01:35:26,1400.0,3.0,11.84,77.8,140634,536348,91591540736,36.2
05/06/2025 01:35:31,1400.0,3.9,11.84,77.7,140761,537043,91591540736,36.2
05/06/2025 01:35:35,2100.0,3.7,11.82,77.7,140895,537615,91591540736,36.2
05/06/2025 01:35:39,1400.0,2.1,11.82,77.6,140900,537624,91591561216,36.2
05/06/2025 01:35:44,1400.0,3.1,11.82,77.6,141046,538563,91591569408,36.2
05/06/2025 01:35:48,2100.0,3.1,11.82,77.7,141058,538580,91591503872,36.2
05/06/2025 01:35:53,1400.0,2.2,11.8,77.5,141196,539433,91591696384,36.2
05/06/2025 01:35:58,2100.0,7.1,11.82,77.6,141371,540500,91591716864,36.2
05/06/2025 01:36:02,2100.0,13.7,11.83,77.7,141499,541180,91591733248,36.2
05/06/2025 01:36:06,2100.0,1.6,11.81,77.6,141503,541190,91590979584,36.2
05/06/2025 01:36:11,1400.0,18.9,11.8,77.5,141637,542020,91591172096,36.2
05/06/2025 01:36:16,2100.0,1.8,11.89,78.1,141913,543413,91591176192,36.2
05/06/2025 01:36:21,1400.0,1.4,11.88,78.0,141918,543438,91591393280,36.2
05/06/2025 01:36:25,2100.0,3.6,11.91,78.2,142153,544689,91591434240,36.2
05/06/2025 01:36:29,1400.0,3.4,11.9,78.1,142207,544765,91591569408,36.2
05/06/2025 01:36:33,2100.0,1.9,11.9,78.1,142380,545887,91591569408,36.2
05/06/2025 01:36:38,2100.0,3.3,11.9,78.1,142387,545917,91591585792,36.2
05/06/2025 01:36:42,2100.0,2.2,11.9,78.2,142520,546769,91591720960,36.2
05/06/2025 01:36:47,2100.0,16.8,11.88,78.0,142676,547657,91591659520,36.2
05/06/2025 01:36:51,2100.0,3.0,11.87,78.0,142730,547791,91591659520,36.2
05/06/2025 01:36:56,1400.0,3.4,11.85,77.8,142880,548442,91591680000,36.2
05/06/2025 01:37:00,1400.0,2.5,11.85,77.8,142946,548867,91591684096,36.2
05/06/2025 01:37:05,2100.0,2.4,11.85,77.8,142967,548965,91591684096,36.2
05/06/2025 01:37:09,1400.0,4.1,11.85,77.8,142974,548995,91591684096,36.2
05/06/2025 01:37:14,1400.0,1.0,11.85,77.8,142988,549027,91591684096,36.2
05/06/2025 01:37:18,2100.0,5.8,11.83,77.7,142991,549033,91591684096,36.2
05/06/2025 01:37:22,2100.0,7.0,11.91,78.2,142997,549066,91591684096,36.2
05/06/2025 01:37:26,1400.0,2.2,11.97,78.6,143004,549080,91591684096,36.2
05/06/2025 01:37:31,1400.0,2.2,11.91,78.3,143005,549104,91591688192,36.2
05/06/2025 01:37:36,2100.0,16.9,11.95,78.5,143008,549138,91592232960,36.2
05/06/2025 01:37:41,2100.0,1.4,11.97,78.6,143013,549148,91592331264,36.2
05/06/2025 01:37:46,2100.0,1.6,11.95,78.5,143021,549166,91592462336,36.2
05/06/2025 01:37:51,1400.0,3.5,11.98,78.7,143073,549202,91592851456,36.2
05/06/2025 01:37:55,2100.0,1.2,11.97,78.6,143175,549369,91592888320,36.2
05/06/2025 01:38:00,2100.0,1.0,11.96,78.5,143194,549391,91592826880,36.2
05/06/2025 01:38:04,1400.0,4.7,11.96,78.5,143206,549410,91592826880,36.2
05/06/2025 01:38:09,1400.0,2.7,11.89,78.1,143233,549444,91592826880,36.2
05/06/2025 01:38:14,1400.0,2.3,11.89,78.1,143235,549457,91592830976,36.2
05/06/2025 01:38:18,2100.0,6.8,11.9,78.2,143249,549473,91592830976,36.2
