data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 02:14:24,2100.0,6.2,11.96,78.5,181329,737866,91386937344,36.1
05/06/2025 02:14:28,2100.0,0.1,11.95,78.5,181470,738768,91386941440,36.1
05/06/2025 02:14:33,1400.0,15.5,11.94,78.4,181552,739022,91386875904,36.1
05/06/2025 02:14:38,1400.0,3.2,11.95,78.5,181606,739327,91386896384,36.1
05/06/2025 02:14:43,2100.0,1.3,12.01,78.9,181611,739336,91387019264,36.1
05/06/2025 02:14:48,2100.0,4.2,12.01,78.9,181679,739784,91387023360,36.1
05/06/2025 02:14:53,1400.0,14.6,12.02,79.0,181772,740383,91387121664,36.1
05/06/2025 02:14:58,1400.0,3.6,12.04,79.1,181833,740748,91387170816,36.1
05/06/2025 02:15:03,2100.0,21.7,12.0,78.8,181969,741583,91387449344,36.1
05/06/2025 02:15:07,1400.0,1.3,11.99,78.8,181992,741612,91387449344,36.1
05/06/2025 02:15:12,1400.0,2.1,11.99,78.8,182118,741992,91387482112,36.1
05/06/2025 02:15:17,2100.0,2.2,12.01,78.9,182145,742116,91387486208,36.1
05/06/2025 02:15:23,1400.0,6.6,12.04,79.1,182270,742932,91387486208,36.1
05/06/2025 02:15:28,1400.0,0.7,12.04,79.1,182292,743006,91387494400,36.1
05/06/2025 02:15:32,2100.0,2.1,12.05,79.1,182385,743315,91387498496,36.1
05/06/2025 02:15:37,2100.0,1.8,12.04,79.1,182448,743638,91387518976,36.1
05/06/2025 02:15:41,1400.0,1.7,12.05,79.1,182504,743887,91387715584,36.1
05/06/2025 02:15:46,2100.0,5.0,12.05,79.1,182551,744043,91387715584,36.1
05/06/2025 02:15:50,2100.0,0.4,12.04,79.1,182625,744441,91387715584,36.1
05/06/2025 02:15:55,1400.0,0.8,12.03,79.0,182695,744566,91387744256,36.1
05/06/2025 02:16:00,1400.0,1.9,12.03,79.0,182699,744574,91387744256,36.1
05/06/2025 02:16:05,1400.0,1.4,12.04,79.1,182702,744583,91387744256,36.1
05/06/2025 02:16:09,1400.0,4.0,12.03,79.0,182708,744610,91387748352,36.1
05/06/2025 02:16:14,1400.0,3.3,12.03,79.0,182716,744635,91387748352,36.1
05/06/2025 02:16:18,2100.0,19.9,12.06,79.2,182756,744688,91387752448,36.1
05/06/2025 02:16:23,2100.0,3.0,11.99,78.8,182784,744728,91387785216,36.1
05/06/2025 02:16:27,1400.0,2.6,12.0,78.8,182808,744755,91386933248,36.1
05/06/2025 02:16:32,2100.0,1.6,12.0,78.8,182865,744773,91386933248,36.1
05/06/2025 02:16:36,1400.0,6.0,12.03,79.0,182870,744802,91387404288,36.1
05/06/2025 02:16:41,2100.0,2.7,12.03,79.0,182876,744818,91387449344,36.1
05/06/2025 02:16:45,2100.0,1.3,12.04,79.1,182894,744865,91387596800,36.1
05/06/2025 02:16:50,2100.0,2.6,12.04,79.1,182903,744877,91387596800,36.1
05/06/2025 02:16:55,1400.0,2.1,12.03,79.0,182909,744886,91387613184,36.1
05/06/2025 02:17:00,1400.0,1.2,12.03,79.0,182920,744915,91387617280,36.1
05/06/2025 02:17:05,2100.0,3.4,12.04,79.1,182938,744949,91388313600,36.1
05/06/2025 02:17:10,2100.0,2.1,12.04,79.0,182949,744969,91388313600,36.1
05/06/2025 02:17:14,2100.0,4.5,12.04,79.1,183004,744987,91388252160,36.1
05/06/2025 02:17:18,1400.0,9.4,12.16,79.9,183011,744996,91388252160,36.1
05/06/2025 02:17:22,2100.0,5.5,12.19,80.0,183012,745001,91388264448,36.1
05/06/2025 02:17:26,2100.0,6.2,12.19,80.1,183013,745007,91388387328,36.1
05/06/2025 02:17:30,2100.0,7.0,12.21,80.2,183015,745015,91388387328,36.1
05/06/2025 02:17:34,2100.0,5.8,12.22,80.2,183019,745030,91388387328,36.1
05/06/2025 02:17:38,2100.0,15.8,12.26,80.5,183050,745070,91388403712,36.1
05/06/2025 02:17:43,2100.0,3.3,12.26,80.5,183081,745107,91388526592,36.1
05/06/2025 02:17:47,2100.0,4.8,12.33,81.0,183122,745165,91388948480,36.1
05/06/2025 02:17:52,2100.0,0.5,12.4,81.4,183210,745265,91388903424,36.1
05/06/2025 02:17:56,2100.0,2.2,12.41,81.5,183224,745290,91388936192,36.1
05/06/2025 02:18:01,1400.0,8.9,12.39,81.4,183447,746107,91389136896,36.1
05/06/2025 02:18:05,1400.0,8.2,12.4,81.4,183497,746240,91389136896,36.1
05/06/2025 02:18:10,1400.0,1.7,12.39,81.4,183676,747414,91389014016,36.1
05/06/2025 02:18:14,1400.0,4.7,12.31,80.8,183788,748156,91389079552,36.1
05/06/2025 02:18:19,1400.0,3.9,12.3,80.8,183815,748192,91389079552,36.1
05/06/2025 02:18:24,1400.0,0.8,12.27,80.6,183974,749132,91389079552,36.1
05/06/2025 02:18:28,1400.0,4.2,12.14,79.7,184129,750159,91389014016,36.1
05/06/2025 02:18:33,1400.0,3.3,12.13,79.7,184328,751167,91389022208,36.1
05/06/2025 02:18:38,1400.0,3.1,12.14,79.7,184450,751973,91389042688,36.1
05/06/2025 02:18:42,2100.0,0.5,12.14,79.7,184555,752638,91389042688,36.1
05/06/2025 02:18:47,2100.0,2.3,12.14,79.7,184687,753457,91389173760,36.1
05/06/2025 02:18:51,1400.0,2.6,12.13,79.7,184813,754268,91389173760,36.1
05/06/2025 02:18:56,1400.0,1.2,12.14,79.7,184815,754275,91389202432,36.1
05/06/2025 02:19:01,2100.0,0.6,12.15,79.8,184992,755420,91398918144,36.1
05/06/2025 02:19:06,1400.0,3.2,12.24,80.4,185190,756505,91398918144,36.1
05/06/2025 02:19:11,2100.0,8.2,12.24,80.4,185417,757845,91384737792,36.1
05/06/2025 02:19:15,1400.0,3.1,12.25,80.4,185662,759098,91385065472,36.1
05/06/2025 02:19:19,2100.0,3.6,12.25,80.4,185800,759986,91385094144,36.1
05/06/2025 02:19:24,2100.0,2.5,12.24,80.4,185955,761024,91385028608,36.1
05/06/2025 02:19:29,2100.0,2.5,12.25,80.5,186072,761732,91385028608,36.1
05/06/2025 02:19:34,1400.0,3.0,12.25,80.5,186159,762172,91385077760,36.1
05/06/2025 02:19:38,1400.0,6.0,12.25,80.5,186265,762779,91385094144,36.1
05/06/2025 02:19:43,1400.0,2.2,12.25,80.5,186303,762946,91385098240,36.1
05/06/2025 02:19:48,1400.0,4.0,12.26,80.5,186357,763194,91385110528,36.1
05/06/2025 02:19:53,1400.0,3.1,12.27,80.6,186512,763662,91385114624,36.1
05/06/2025 02:19:58,2100.0,2.2,12.27,80.6,186521,763675,91385061376,36.1
05/06/2025 02:20:03,1400.0,2.3,12.26,80.5,186544,763702,91385126912,36.1
