data_hora,process_name,memory_percent,cpu_percent,vms
05/06/2025 17:57:57,Code.exe,0,10.6,0
05/06/2025 17:57:57,Code.exe,0,5.6,0
05/06/2025 17:57:57,rstudio.exe,0,2.3,0
05/06/2025 17:57:57,System,0,1.8,0
05/06/2025 17:57:57,PubPlatform.exe,0,1.1,0
05/06/2025 17:57:57,mintty.exe,0,1.1,0
05/06/2025 17:58:01,Code.exe,0,72.0,0
05/06/2025 17:58:01,Code.exe,0,56.0,0
05/06/2025 17:58:01,Code.exe,0,37.4,0
05/06/2025 17:58:01,dwm.exe,0,32.0,0
05/06/2025 17:58:01,python.exe,0,21.1,0
05/06/2025 17:58:01,Code.exe,0,19.2,0
05/06/2025 17:58:01,SynTPEnh.exe,0,4.2,0
05/06/2025 17:58:01,MsMpEng.exe,0,3.8,0
05/06/2025 17:58:01,WmiPrvSE.exe,0,3.4,0
05/06/2025 17:58:01,System,0,3.2,0
05/06/2025 17:58:10,Code.exe,0,60.7,0
05/06/2025 17:58:10,Code.exe,0,31.0,0
05/06/2025 17:58:10,Code.exe,0,29.5,0
05/06/2025 17:58:10,python.exe,0,23.4,0
05/06/2025 17:58:10,chrome.exe,0,20.7,0
05/06/2025 17:58:10,dwm.exe,0,20.0,0
05/06/2025 17:58:10,Code.exe,0,15.0,0
05/06/2025 17:58:10,chrome.exe,0,10.0,0
05/06/2025 17:58:10,System,0,9.6,0
05/06/2025 17:58:10,MsMpEng.exe,0,5.9,0
05/06/2025 17:58:18,Code.exe,0,87.1,0
05/06/2025 17:58:18,Code.exe,0,37.8,0
05/06/2025 17:58:18,python.exe,0,31.6,0
05/06/2025 17:58:18,Code.exe,0,24.4,0
05/06/2025 17:58:18,dwm.exe,0,18.0,0
05/06/2025 17:58:18,Code.exe,0,9.3,0
05/06/2025 17:58:18,System,0,7.1,0
05/06/2025 17:58:18,Code.exe,0,2.8,0
05/06/2025 17:58:18,ctfmon.exe,0,1.9,0
05/06/2025 17:58:18,MsMpEng.exe,0,1.8,0
05/06/2025 17:58:25,dwm.exe,0,63.0,0
05/06/2025 17:58:25,Code.exe,0,46.1,0
05/06/2025 17:58:25,chrome.exe,0,42.6,0
05/06/2025 17:58:25,Code.exe,0,39.9,0
05/06/2025 17:58:25,chrome.exe,0,32.1,0
05/06/2025 17:58:25,Code.exe,0,28.8,0
05/06/2025 17:58:25,python.exe,0,16.2,0
05/06/2025 17:58:25,Code.exe,0,8.0,0
05/06/2025 17:58:25,Code.exe,0,3.9,0
05/06/2025 17:58:25,SynTPEnh.exe,0,3.1,0
