data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 17:57:05,2396.0,17.0,5.46,69.6,77396,179474,137030582272,53.7
05/06/2025 17:57:08,2396.0,11.9,5.46,69.7,77397,179475,137030582272,53.7
05/06/2025 17:57:12,2396.0,28.0,5.46,69.7,77397,179475,137030582272,53.7
05/06/2025 17:57:15,2396.0,12.5,5.46,69.7,77432,179523,137030586368,53.7
05/06/2025 17:57:18,2396.0,6.2,5.47,69.8,77440,179535,137030586368,53.7
05/06/2025 17:57:21,2396.0,7.3,5.47,69.7,77462,179561,137030586368,53.7
05/06/2025 17:57:24,2396.0,8.5,5.47,69.7,77462,179561,137030590464,53.7
05/06/2025 17:57:27,2396.0,31.3,5.46,69.7,77496,179595,137030606848,53.7
05/06/2025 17:57:30,2396.0,18.9,5.41,69.0,77555,179664,137030606848,53.7
05/06/2025 17:57:33,2396.0,8.1,5.41,69.1,77563,179674,137030606848,53.7
05/06/2025 17:57:36,2396.0,8.5,5.41,69.1,77563,179674,137030606848,53.7
05/06/2025 17:57:39,2396.0,10.7,5.41,69.1,77563,179674,137030606848,53.7
05/06/2025 17:57:43,2396.0,20.7,5.41,69.0,77575,179688,137030737920,53.7
05/06/2025 17:57:47,2396.0,82.2,5.54,70.7,77578,179692,137030737920,53.7
05/06/2025 17:57:53,2396.0,88.5,5.57,71.0,77612,179730,137030737920,53.7
05/06/2025 17:57:57,2396.0,24.3,5.56,70.9,77628,179748,137030742016,53.7
05/06/2025 17:58:01,2396.0,70.9,5.55,70.8,77635,179755,137030742016,53.7
05/06/2025 17:58:10,2396.0,67.6,5.55,70.8,77705,179875,137030750208,53.7
05/06/2025 17:58:18,2396.0,65.8,5.57,71.0,77828,180227,137030750208,53.7
05/06/2025 17:58:25,2396.0,79.8,5.57,71.1,77967,180619,137030885376,53.7
05/06/2025 17:58:29,2396.0,92.1,5.54,70.7,77984,180719,137030885376,53.7
05/06/2025 17:58:34,2396.0,21.5,5.62,71.7,78099,180844,137030901760,53.7
05/06/2025 17:58:42,2396.0,45.3,5.62,71.7,78105,180863,137031168000,53.7
05/06/2025 17:58:48,2396.0,82.1,5.63,71.8,78156,180967,137031168000,53.7
05/06/2025 17:58:53,2396.0,49.4,5.59,71.3,78172,180984,137031168000,53.7
05/06/2025 17:58:56,2396.0,47.4,5.52,70.4,78185,180997,137031172096,53.7
05/06/2025 17:58:59,2396.0,26.8,5.51,70.3,78190,181015,137031172096,53.7
05/06/2025 17:59:02,2396.0,58.2,5.51,70.3,78195,181019,137031172096,53.7
05/06/2025 17:59:05,2396.0,8.6,5.51,70.3,78195,181019,137031172096,53.7
05/06/2025 17:59:08,2396.0,42.0,5.5,70.2,78195,181019,137031172096,53.7
05/06/2025 17:59:12,2396.0,21.1,5.49,70.1,78195,181019,137031172096,53.7
05/06/2025 17:59:15,2396.0,25.3,5.49,70.1,78196,181019,137031172096,53.7
05/06/2025 17:59:18,2396.0,51.2,5.49,70.1,78200,181020,137031172096,53.7
05/06/2025 17:59:21,2396.0,6.6,5.49,70.1,78202,181021,137031172096,53.7
05/06/2025 17:59:24,2396.0,44.5,5.49,70.1,78207,181022,137031172096,53.7
05/06/2025 17:59:28,2396.0,17.3,5.49,70.1,78212,181024,137031172096,53.7
05/06/2025 17:59:31,2396.0,38.2,5.49,70.1,78341,181171,137031225344,53.7
05/06/2025 17:59:34,2396.0,29.5,5.49,70.1,78348,181173,137031225344,53.7
05/06/2025 17:59:37,2396.0,13.1,5.49,70.1,78367,181195,137031225344,53.7
05/06/2025 17:59:40,2396.0,58.9,5.49,70.1,78382,181210,137031225344,53.7
05/06/2025 17:59:44,2396.0,14.3,5.5,70.1,78425,181259,137031356416,53.7
05/06/2025 17:59:47,2396.0,40.3,5.54,70.7,78474,181319,137031356416,53.7
05/06/2025 17:59:50,2396.0,69.7,5.54,70.7,78490,181336,137031356416,53.7
05/06/2025 17:59:54,2396.0,28.8,5.55,70.8,78497,181346,137031356416,53.7
05/06/2025 17:59:57,2396.0,12.5,5.55,70.8,78530,181403,137031356416,53.7
05/06/2025 18:00:00,2396.0,52.3,5.54,70.6,78530,181403,137031397376,53.7
05/06/2025 18:00:04,2396.0,27.8,5.55,70.7,78531,181405,137031356416,53.7
05/06/2025 18:00:07,2396.0,52.1,5.54,70.6,78534,181405,137031401472,53.7
05/06/2025 18:00:10,2396.0,49.2,5.53,70.6,78541,181406,137031401472,53.7
05/06/2025 18:00:13,2396.0,15.9,5.54,70.6,78542,181407,137031401472,53.7
05/06/2025 18:00:17,2396.0,48.6,5.53,70.6,78546,181413,137031401472,53.7
05/06/2025 18:00:20,2396.0,23.5,5.54,70.7,78547,181416,137031401472,53.7
05/06/2025 18:00:23,2396.0,47.3,5.49,70.1,78549,181416,137031401472,53.7
05/06/2025 18:00:26,2396.0,40.1,5.47,69.8,78561,181429,137031360512,53.7
05/06/2025 18:00:29,2396.0,11.5,5.47,69.8,78561,181429,137031364608,53.7
05/06/2025 18:00:32,2396.0,51.9,5.47,69.8,78564,181432,137031364608,53.7
05/06/2025 18:00:36,2396.0,35.8,5.47,69.8,78568,181444,137031364608,53.7
05/06/2025 18:00:39,2396.0,50.2,5.47,69.7,78577,181456,137031364608,53.7
05/06/2025 18:00:42,2396.0,61.3,5.47,69.7,78580,181458,137031368704,53.7
05/06/2025 18:00:46,2396.0,20.5,5.48,69.9,78588,181464,137031368704,53.7
05/06/2025 18:00:49,2396.0,32.9,5.47,69.8,78597,181475,137031368704,53.7
05/06/2025 18:00:52,2396.0,46.2,5.47,69.8,78598,181478,137031368704,53.7
05/06/2025 18:00:56,2396.0,40.2,5.47,69.8,78598,181478,137031368704,53.7
05/06/2025 18:01:00,2396.0,20.7,5.49,70.0,78599,181478,137031368704,53.7
05/06/2025 18:01:03,2396.0,19.2,5.49,70.1,78599,181478,137031368704,53.7
05/06/2025 18:01:06,2396.0,48.3,5.49,70.0,78599,181478,137031368704,53.7
05/06/2025 18:01:10,2396.0,22.3,5.49,70.0,78599,181478,137031368704,53.7
05/06/2025 18:01:13,2396.0,44.4,5.49,70.0,78602,181480,137031368704,53.7
05/06/2025 18:01:16,2396.0,72.0,5.48,69.9,78611,181491,137031368704,53.7
05/06/2025 18:01:20,2396.0,14.4,5.48,69.9,78614,181491,137031372800,53.7
05/06/2025 18:01:23,2396.0,37.7,5.48,69.9,78615,181492,137031372800,53.7
05/06/2025 18:01:26,2396.0,33.3,5.48,69.9,78619,181497,137031372800,53.7
