data_hora,process_name,memory_percent,cpu_percent,vms
05/06/2025 01:15:18,python.exe,0,22.1,0
05/06/2025 01:15:18,webstorm64.exe,0,15.5,0
05/06/2025 01:15:18,System,0,3.1,0
05/06/2025 01:15:18,dwm.exe,0,2.2,0
05/06/2025 01:15:18,opera.exe,0,2.0,0
05/06/2025 01:15:18,opera.exe,0,1.5,0
05/06/2025 01:15:18,Rainmeter.exe,0,1.5,0
05/06/2025 01:15:18,Discord.exe,0,1.4,0
05/06/2025 01:15:18,opera.exe,0,1.4,0
05/06/2025 01:15:18,opera.exe,0,0.7,0
05/06/2025 01:15:23,python.exe,0,17.1,0
05/06/2025 01:15:23,webstorm64.exe,0,14.7,0
05/06/2025 01:15:23,System,0,8.7,0
05/06/2025 01:15:23,dwm.exe,0,5.3,0
05/06/2025 01:15:23,pycharm64.exe,0,3.3,0
05/06/2025 01:15:23,wallpaper32.exe,0,1.7,0
05/06/2025 01:15:23,svchost.exe,0,1.3,0
05/06/2025 01:15:23,audiodg.exe,0,0.9,0
05/06/2025 01:15:23,opera.exe,0,0.9,0
05/06/2025 01:15:23,SynTPEnh.exe,0,0.8,0
05/06/2025 01:15:27,webstorm64.exe,0,17.5,0
05/06/2025 01:15:27,python.exe,0,14.1,0
05/06/2025 01:15:27,Discord.exe,0,2.3,0
05/06/2025 01:15:27,dwm.exe,0,1.7,0
05/06/2025 01:15:27,pycharm64.exe,0,1.6,0
05/06/2025 01:15:27,audiodg.exe,0,0.9,0
05/06/2025 01:15:27,Rainmeter.exe,0,0.9,0
05/06/2025 01:15:27,SynTPEnh.exe,0,0.8,0
05/06/2025 01:15:27,RadeonSoftware.exe,0,0.8,0
05/06/2025 01:15:27,opera.exe,0,0.7,0
05/06/2025 01:15:31,pycharm64.exe,0,31.9,0
05/06/2025 01:15:31,python.exe,0,20.5,0
05/06/2025 01:15:31,webstorm64.exe,0,6.1,0
05/06/2025 01:15:31,opera.exe,0,2.5,0
05/06/2025 01:15:31,System,0,1.8,0
05/06/2025 01:15:31,SynTPEnh.exe,0,1.6,0
05/06/2025 01:15:31,svchost.exe,0,1.5,0
05/06/2025 01:15:31,atieclxx.exe,0,1.4,0
05/06/2025 01:15:31,dwm.exe,0,0.9,0
05/06/2025 01:15:31,MsMpEng.exe,0,0.8,0
05/06/2025 01:15:36,pycharm64.exe,0,39.9,0
05/06/2025 01:15:36,python.exe,0,19.2,0
05/06/2025 01:15:36,webstorm64.exe,0,14.3,0
05/06/2025 01:15:36,dwm.exe,0,7.7,0
05/06/2025 01:15:36,MsMpEng.exe,0,3.8,0
05/06/2025 01:15:36,opera.exe,0,2.8,0
05/06/2025 01:15:36,explorer.exe,0,2.1,0
05/06/2025 01:15:36,Discord.exe,0,1.6,0
05/06/2025 01:15:36,Rainmeter.exe,0,0.9,0
05/06/2025 01:15:36,mysqld.exe,0,0.8,0
05/06/2025 01:15:40,webstorm64.exe,0,69.6,0
05/06/2025 01:15:40,python.exe,0,30.1,0
05/06/2025 01:15:40,opera.exe,0,8.2,0
05/06/2025 01:15:40,dwm.exe,0,3.1,0
05/06/2025 01:15:40,opera.exe,0,2.4,0
05/06/2025 01:15:40,SynTPEnh.exe,0,2.2,0
05/06/2025 01:15:40,pycharm64.exe,0,2.2,0
05/06/2025 01:15:40,opera.exe,0,1.3,0
05/06/2025 01:15:40,opera.exe,0,1.3,0
05/06/2025 01:15:40,Rainmeter.exe,0,0.8,0
05/06/2025 01:15:45,python.exe,0,21.2,0
05/06/2025 01:15:45,opera.exe,0,5.7,0
05/06/2025 01:15:45,opera.exe,0,3.5,0
05/06/2025 01:15:45,opera.exe,0,3.3,0
05/06/2025 01:15:45,dwm.exe,0,1.6,0
05/06/2025 01:15:45,MsMpEng.exe,0,1.5,0
05/06/2025 01:15:45,Discord.exe,0,1.5,0
05/06/2025 01:15:45,pycharm64.exe,0,1.5,0
05/06/2025 01:15:45,opera.exe,0,1.4,0
05/06/2025 01:15:45,SynTPEnh.exe,0,0.8,0
05/06/2025 01:15:49,python.exe,0,22.6,0
05/06/2025 01:15:49,opera.exe,0,7.7,0
05/06/2025 01:15:49,dwm.exe,0,4.9,0
05/06/2025 01:15:49,opera.exe,0,4.5,0
05/06/2025 01:15:49,SynTPEnh.exe,0,3.0,0
05/06/2025 01:15:49,opera.exe,0,2.5,0
05/06/2025 01:15:49,explorer.exe,0,2.0,0
05/06/2025 01:15:49,RadeonSoftware.exe,0,0.8,0
05/06/2025 01:15:49,StartMenuExperienceHost.exe,0,0.8,0
05/06/2025 01:15:49,audiodg.exe,0,0.8,0
05/06/2025 01:15:54,pycharm64.exe,0,65.8,0
05/06/2025 01:15:54,MsMpEng.exe,0,17.9,0
05/06/2025 01:15:54,python.exe,0,15.0,0
05/06/2025 01:15:54,MySQLWorkbench.exe,0,12.0,0
05/06/2025 01:15:54,opera.exe,0,3.2,0
05/06/2025 01:15:54,opera.exe,0,2.8,0
05/06/2025 01:15:54,System,0,1.9,0
05/06/2025 01:15:54,webstorm64.exe,0,0.9,0
05/06/2025 01:15:54,csrss.exe,0,0.9,0
05/06/2025 01:15:54,dwm.exe,0,0.9,0
05/06/2025 01:15:58,python.exe,0,17.4,0
05/06/2025 01:15:58,opera.exe,0,4.3,0
05/06/2025 01:15:58,MySQLWorkbench.exe,0,2.7,0
05/06/2025 01:15:58,pycharm64.exe,0,2.6,0
05/06/2025 01:15:58,dwm.exe,0,1.8,0
05/06/2025 01:15:58,SynTPEnh.exe,0,1.6,0
05/06/2025 01:15:58,Discord.exe,0,1.6,0
05/06/2025 01:15:58,opera.exe,0,1.3,0
05/06/2025 01:15:58,opera.exe,0,0.9,0
05/06/2025 01:15:58,audiodg.exe,0,0.9,0
05/06/2025 01:16:02,python.exe,0,30.8,0
05/06/2025 01:16:02,SynTPEnh.exe,0,21.2,0
05/06/2025 01:16:02,MySQLWorkbench.exe,0,19.3,0
05/06/2025 01:16:02,pycharm64.exe,0,0.9,0
05/06/2025 01:16:02,ctfmon.exe,0,0.9,0
05/06/2025 01:16:02,dwm.exe,0,0.9,0
05/06/2025 01:16:02,MsMpEng.exe,0,0.8,0
05/06/2025 01:16:02,mysqld.exe,0,0.8,0
05/06/2025 01:16:02,Discord.exe,0,0.8,0
05/06/2025 01:16:02,System,0,0.7,0
05/06/2025 01:16:07,python.exe,0,32.2,0
05/06/2025 01:16:07,pycharm64.exe,0,1.6,0
05/06/2025 01:16:07,MsMpEng.exe,0,0.8,0
05/06/2025 01:16:07,SynTPEnh.exe,0,0.8,0
05/06/2025 01:16:07,webstorm64.exe,0,0.8,0
05/06/2025 01:16:07,opera.exe,0,0.8,0
05/06/2025 01:16:07,Rainmeter.exe,0,0.8,0
05/06/2025 01:16:07,System,0,0.7,0
05/06/2025 01:16:07,opera.exe,0,0.7,0
05/06/2025 01:16:11,python.exe,0,16.8,0
05/06/2025 01:16:11,opera.exe,0,11.6,0
05/06/2025 01:16:11,opera.exe,0,4.0,0
05/06/2025 01:16:11,MsMpEng.exe,0,2.9,0
05/06/2025 01:16:11,opera.exe,0,2.8,0
05/06/2025 01:16:11,pycharm64.exe,0,1.6,0
05/06/2025 01:16:11,Discord.exe,0,0.8,0
05/06/2025 01:16:11,webstorm64.exe,0,0.8,0
05/06/2025 01:16:11,audiodg.exe,0,0.8,0
05/06/2025 01:16:11,opera.exe,0,0.8,0
05/06/2025 01:16:15,python.exe,0,27.4,0
05/06/2025 01:16:15,opera.exe,0,5.9,0
05/06/2025 01:16:15,opera.exe,0,5.6,0
05/06/2025 01:16:15,opera.exe,0,3.5,0
05/06/2025 01:16:15,SynTPEnh.exe,0,0.9,0
05/06/2025 01:16:15,audiodg.exe,0,0.9,0
05/06/2025 01:16:15,dwm.exe,0,0.9,0
05/06/2025 01:16:15,System,0,0.7,0
05/06/2025 01:16:20,MsMpEng.exe,0,14.7,0
05/06/2025 01:16:20,python.exe,0,10.6,0
05/06/2025 01:16:20,System,0,9.4,0
05/06/2025 01:16:20,opera.exe,0,7.2,0
05/06/2025 01:16:20,explorer.exe,0,3.2,0
05/06/2025 01:16:20,dwm.exe,0,2.9,0
05/06/2025 01:16:20,opera.exe,0,2.7,0
05/06/2025 01:16:20,opera.exe,0,2.6,0
05/06/2025 01:16:20,MySQLWorkbench.exe,0,2.2,0
05/06/2025 01:16:20,opera.exe,0,2.0,0
05/06/2025 01:16:25,idea64.exe,0,73.3,0
05/06/2025 01:16:25,python.exe,0,22.9,0
05/06/2025 01:16:25,pycharm64.exe,0,17.1,0
05/06/2025 01:16:25,System,0,7.4,0
05/06/2025 01:16:25,opera.exe,0,1.9,0
05/06/2025 01:16:25,MsMpEng.exe,0,1.6,0
05/06/2025 01:16:25,opera.exe,0,1.4,0
05/06/2025 01:16:25,dwm.exe,0,1.0,0
05/06/2025 01:16:25,svchost.exe,0,0.9,0
05/06/2025 01:16:25,opera.exe,0,0.9,0
